huc12,Datetime,prcp_sum,prcp_max_1day,prcp_wet_days,prcp_heavy_days_p90,prcp_heavy_days_p95,prcp_antecedent1mo,prcp_antecedent2mo
051401010504,1996-01,126.59299807436764,33.912498474121094,13.0,2.0,1.0,75.17599983513355,60.514998495578766
051401010504,1996-02,62.94050026638433,15.093999862670898,8.0,0.0,0.0,126.59299807436764,75.17599983513355
051401010504,1996-03,121.7959985936759,25.74449920654297,16.0,1.0,0.0,62.94050026638433,126.59299807436764
051401010504,1996-04,179.4844999462366,38.41300201416016,13.0,4.0,1.0,121.7959985936759,62.94050026638433
051401010504,1996-05,226.2664999961853,34.23350143432617,20.0,3.0,2.0,179.4844999462366,121.7959985936759
051401010504,1996-06,106.8230003118515,17.964000701904297,15.0,0.0,0.0,226.2664999961853,179.4844999462366
051401010504,1996-07,147.62500153388828,24.219999313354492,16.0,2.0,0.0,106.8230003118515,226.2664999961853
051401010504,1996-08,44.084999335813336,10.056499481201172,10.0,0.0,0.0,147.62500153388828,106.8230003118515
051401010504,1996-09,182.31049723178148,34.891998291015625,16.0,3.0,2.0,44.084999335813336,147.62500153388828
051401010504,1996-10,57.45099954307079,16.929500579833984,9.0,0.0,0.0,182.31049723178148,44.084999335813336
051401010504,1996-11,96.36699816584587,21.298999786376953,11.0,0.0,0.0,57.45099954307079,182.31049723178148
051401010504,1996-12,129.85949972830713,29.737499237060547,10.0,1.0,0.0,96.36699816584587,57.45099954307079
051401010504,1997-01,84.72549917548895,17.875499725341797,14.0,0.0,0.0,129.85949972830713,96.36699816584587
051401010504,1997-02,67.68000016361475,30.308500289916992,7.0,1.0,0.0,84.72549917548895,129.85949972830713
051401010504,1997-03,272.75949788093567,84.56849670410156,19.0,3.0,2.0,67.68000016361475,84.72549917548895
051401010504,1997-04,55.87750085443258,8.558000564575195,15.0,0.0,0.0,272.75949788093567,67.68000016361475
051401010504,1997-05,164.57300159981241,23.385499954223633,16.0,1.0,0.0,55.87750085443258,272.75949788093567
051401010504,1997-06,181.1054995227605,32.58300018310547,19.0,3.0,1.0,164.57300159981241,55.87750085443258
051401010504,1997-07,28.96349939983338,15.732999801635742,2.0,0.0,0.0,181.1054995227605,164.57300159981241
051401010504,1997-08,89.45600026845932,15.91349983215332,15.0,0.0,0.0,28.96349939983338,181.1054995227605
051401010504,1997-09,35.827999878674746,11.201000213623049,6.0,0.0,0.0,89.45600026845932,28.96349939983338
051401010504,1997-10,48.55599866807461,11.112500190734863,7.0,0.0,0.0,35.827999878674746,89.45600026845932
051401010504,1997-11,94.26999828219414,25.06049919128418,12.0,1.0,0.0,48.55599866807461,35.827999878674746
051401010504,1997-12,87.60299860034138,14.76449966430664,13.0,0.0,0.0,94.26999828219414,48.55599866807461
051401010504,1998-01,91.31200024299324,25.874000549316406,11.0,1.0,0.0,87.60299860034138,94.26999828219414
051401010504,1998-02,80.45150163257495,21.957500457763672,11.0,1.0,0.0,91.31200024299324,87.60299860034138
051401010504,1998-03,91.78599927295,18.346500396728516,14.0,0.0,0.0,80.45150163257495,91.31200024299324
051401010504,1998-04,166.37199920415878,32.270999908447266,18.0,2.0,1.0,91.78599927295,80.45150163257495
051401010504,1998-05,129.23899668082595,45.80999755859375,17.0,1.0,1.0,166.37199920415878,91.78599927295
051401010504,1998-06,210.809499502182,26.826499938964844,22.0,2.0,0.0,129.23899668082595,166.37199920415878
051401010504,1998-07,141.83449858427048,16.763500213623047,17.0,0.0,0.0,210.809499502182,129.23899668082595
051401010504,1998-08,41.41050034761429,13.46150016784668,7.0,0.0,0.0,141.83449858427048,210.809499502182
051401010504,1998-09,25.91450035572052,12.225000381469728,6.0,0.0,0.0,41.41050034761429,141.83449858427048
051401010504,1998-10,71.63650057837367,15.79300022125244,8.0,0.0,0.0,25.91450035572052,41.41050034761429
051401010504,1998-11,57.186499893665314,10.923999786376951,8.0,0.0,0.0,71.63650057837367,25.91450035572052
051401010504,1998-12,85.71400140784681,18.48450088500977,13.0,0.0,0.0,57.186499893665314,71.63650057837367
051401010504,1999-01,184.52049979567528,33.221500396728516,15.0,3.0,2.0,85.71400140784681,57.186499893665314
051401010504,1999-02,79.67099767178297,22.224998474121097,13.0,1.0,0.0,184.52049979567528,85.71400140784681
051401010504,1999-03,69.84599958802573,12.583999633789062,13.0,0.0,0.0,79.67099767178297,184.52049979567528
051401010504,1999-04,67.27999934740365,8.973499298095703,16.0,0.0,0.0,69.84599958802573,79.67099767178297
051401010504,1999-05,67.08050107955933,17.358001708984375,10.0,0.0,0.0,67.27999934740365,69.84599958802573
051401010504,1999-06,189.5784974177368,36.38850021362305,14.0,3.0,1.0,67.08050107955933,67.27999934740365
051401010504,1999-07,30.986499249003828,9.68549919128418,9.0,0.0,0.0,189.5784974177368,67.08050107955933
051401010504,1999-08,11.747999995946884,4.547999858856201,5.0,0.0,0.0,30.986499249003828,189.5784974177368
051401010504,1999-09,21.128000332042575,8.576499938964844,5.0,0.0,0.0,11.747999995946884,30.986499249003828
051401010504,1999-10,65.13800059165806,36.868499755859375,3.0,2.0,1.0,21.128000332042575,11.747999995946884
051401010504,1999-11,45.43749959766865,13.736499786376951,6.0,0.0,0.0,65.13800059165806,21.128000332042575
051401010504,1999-12,135.12599882483482,38.61100006103515,15.0,3.0,1.0,45.43749959766865,65.13800059165806
051401010504,2000-01,131.5634985268116,60.322998046875,13.0,3.0,1.0,135.12599882483482,45.43749959766865
051401010504,2000-02,182.28149972856045,55.605003356933594,10.0,3.0,2.0,131.5634985268116,135.12599882483482
