huc12,Datetime,prcp_sum,prcp_max_1day,prcp_wet_days,prcp_heavy_days_p90,prcp_heavy_days_p95,prcp_antecedent1mo,prcp_antecedent2mo
080101000702,1996-01,96.24010136127472,19.83190002441406,14.0,0.0,0.0,88.17430045604706,157.7999993801117
080101000702,1996-02,69.19709792137147,20.205598449707033,6.0,0.0,0.0,96.24010136127472,88.17430045604706
080101000702,1996-03,113.9055987358093,25.88489990234375,14.0,1.0,0.0,69.19709792137147,96.24010136127472
080101000702,1996-04,71.649800491333,15.116600036621094,13.0,0.0,0.0,113.9055987358093,69.19709792137147
080101000702,1996-05,116.87349964380263,23.097898864746092,9.0,0.0,0.0,71.649800491333,113.9055987358093
080101000702,1996-06,157.48569936752318,27.25989990234375,14.0,3.0,0.0,116.87349964380263,71.649800491333
080101000702,1996-07,132.2350978447008,28.00889892578125,16.0,1.0,0.0,157.48569936752318,116.87349964380263
080101000702,1996-08,41.46210104674102,20.39410095214844,5.0,0.0,0.0,132.2350978447008,157.48569936752318
080101000702,1996-09,137.7856997475028,34.3989990234375,12.0,2.0,0.0,41.46210104674102,132.2350978447008
080101000702,1996-10,173.0825974225998,38.763998413085936,12.0,2.0,1.0,137.7856997475028,41.46210104674102
080101000702,1996-11,179.5122018335387,43.7197998046875,15.0,1.0,1.0,173.0825974225998,137.7856997475028
080101000702,1996-12,135.9396996319294,20.548599243164062,13.0,0.0,0.0,179.5122018335387,173.0825974225998
080101000702,1997-01,104.37359783630819,14.380699157714844,13.0,0.0,0.0,135.9396996319294,179.5122018335387
080101000702,1997-02,159.2710002182052,39.29330139160156,17.0,1.0,1.0,104.37359783630819,135.9396996319294
080101000702,1997-03,248.85080407885835,56.7468017578125,17.0,2.0,2.0,159.2710002182052,104.37359783630819
080101000702,1997-04,185.97640257850287,42.70750122070312,13.0,2.0,1.0,248.85080407885835,159.2710002182052
080101000702,1997-05,125.1828000349924,45.2531982421875,8.0,2.0,1.0,185.97640257850287,248.85080407885835
080101000702,1997-06,157.8831022247672,47.670501708984375,12.0,2.0,1.0,125.1828000349924,185.97640257850287
080101000702,1997-07,69.05270180702209,23.490301513671874,8.0,1.0,0.0,157.8831022247672,125.1828000349924
080101000702,1997-08,85.92979833483696,38.77729797363281,10.0,1.0,1.0,69.05270180702209,157.8831022247672
080101000702,1997-09,114.38250322490933,73.82750244140625,6.0,1.0,1.0,85.92979833483696,69.05270180702209
080101000702,1997-10,90.12640089690684,25.855099487304688,10.0,1.0,0.0,114.38250322490933,85.92979833483696
080101000702,1997-11,46.388701695203785,16.608799743652344,7.0,0.0,0.0,90.12640089690684,114.38250322490933
080101000702,1997-12,90.6425978720188,33.85889892578125,12.0,1.0,0.0,46.388701695203785,90.12640089690684
080101000702,1998-01,139.43190170526506,31.7197021484375,13.0,2.0,0.0,90.6425978720188,46.388701695203785
080101000702,1998-02,128.43570173978804,40.03040161132813,7.0,1.0,1.0,139.43190170526506,90.6425978720188
080101000702,1998-03,137.7026986120269,30.74700012207031,10.0,2.0,0.0,128.43570173978804,139.43190170526506
080101000702,1998-04,156.50809826850892,36.6197998046875,13.0,2.0,2.0,137.7026986120269,128.43570173978804
080101000702,1998-05,61.22859992980957,24.755398559570313,8.0,1.0,0.0,156.50809826850892,137.7026986120269
080101000702,1998-06,38.02519887685776,20.567599487304687,5.0,0.0,0.0,61.22859992980957,156.50809826850892
080101000702,1998-07,189.41890389919283,25.13590087890625,16.0,2.0,0.0,38.02519887685776,61.22859992980957
080101000702,1998-08,83.52300054728985,27.809201049804688,8.0,1.0,0.0,189.41890389919283,38.02519887685776
080101000702,1998-09,12.937900352478026,10.366100311279297,3.0,0.0,0.0,83.52300054728985,189.41890389919283
080101000702,1998-10,76.42160190939903,27.5677001953125,6.0,1.0,0.0,12.937900352478026,83.52300054728985
080101000702,1998-11,35.67870067954063,9.591000366210938,5.0,0.0,0.0,76.42160190939903,12.937900352478026
080101000702,1998-12,133.53400144316254,22.36120147705078,16.0,0.0,0.0,35.67870067954063,76.42160190939903
080101000702,1999-01,183.414997123729,32.07740173339844,12.0,4.0,0.0,133.53400144316254,35.67870067954063
080101000702,1999-02,44.324700330197814,11.945100402832033,6.0,0.0,0.0,183.414997123729,133.53400144316254
080101000702,1999-03,145.22979745864868,35.41239929199219,20.0,1.0,1.0,44.324700330197814,183.414997123729
080101000702,1999-04,158.51850110888483,40.48359985351563,10.0,3.0,2.0,145.22979745864868,44.324700330197814
080101000702,1999-05,118.63210315704346,45.590301513671875,9.0,2.0,2.0,158.51850110888483,145.22979745864868
080101000702,1999-06,113.65599924027917,45.281900024414064,12.0,1.0,1.0,118.63210315704346,158.51850110888483
080101000702,1999-07,52.30939862672239,25.319499206542968,4.0,1.0,0.0,113.65599924027917,118.63210315704346
080101000702,1999-08,34.20659853219986,24.99939880371094,3.0,1.0,0.0,52.30939862672239,113.65599924027917
080101000702,1999-09,32.74830121994019,21.677500915527343,3.0,0.0,0.0,34.20659853219986,52.30939862672239
080101000702,1999-10,58.64809851329774,41.0031982421875,4.0,1.0,1.0,32.74830121994019,34.20659853219986
080101000702,1999-11,57.89359745960683,32.31419677734375,4.0,1.0,0.0,58.64809851329774,32.74830121994019
080101000702,1999-12,132.95749740600587,53.35509643554688,7.0,2.0,1.0,57.89359745960683,58.64809851329774
080101000702,2000-01,44.894500005245206,9.867999267578124,10.0,0.0,0.0,132.95749740600587,57.89359745960683
080101000702,2000-02,105.79729751944542,44.37919921875,7.0,1.0,1.0,44.894500005245206,132.95749740600587
