huc12,Datetime,prcp_sum,prcp_max_1day,prcp_wet_days,prcp_heavy_days_p90,prcp_heavy_days_p95,prcp_antecedent1mo,prcp_antecedent2mo
150501001101,1996-01,0.7647499851882457,0.7436249852180481,0.0,0.0,0.0,0.0399999991059302,31.062253661919385
150501001101,1996-02,30.49124920752365,11.716249465942385,4.0,1.0,0.0,0.7647499851882457,0.0399999991059302
150501001101,1996-03,14.783749591908418,7.742062091827393,2.0,0.0,0.0,30.49124920752365,0.7647499851882457
150501001101,1996-04,0.0,0.0,0.0,0.0,0.0,14.783749591908418,30.49124920752365
150501001101,1996-05,0.0,0.0,0.0,0.0,0.0,0.0,14.783749591908418
150501001101,1996-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150501001101,1996-07,29.443623423576355,18.806123733520508,4.0,1.0,1.0,0.0,0.0
150501001101,1996-08,5.533687344752252,2.6018123626708984,2.0,0.0,0.0,29.443623423576355,0.0
150501001101,1996-09,37.997375543403905,11.14218807220459,6.0,0.0,0.0,5.533687344752252,29.443623423576355
150501001101,1996-10,1.532999855466187,0.9048749804496764,0.0,0.0,0.0,37.997375543403905,5.533687344752252
150501001101,1996-11,9.883687138557434,5.247874736785889,3.0,0.0,0.0,1.532999855466187,37.997375543403905
150501001101,1996-12,0.001937499968335,0.001937499968335,0.0,0.0,0.0,9.883687138557434,1.532999855466187
150501001101,1997-01,26.24631243944168,10.705937385559082,4.0,0.0,0.0,0.001937499968335,9.883687138557434
150501001101,1997-02,16.407312527298927,16.009437561035156,1.0,1.0,0.0,26.24631243944168,0.001937499968335
150501001101,1997-03,1.7914376258850098,1.7914376258850098,1.0,0.0,0.0,16.407312527298927,26.24631243944168
150501001101,1997-04,8.998250357806683,5.488937854766846,2.0,0.0,0.0,1.7914376258850098,16.407312527298927
150501001101,1997-05,0.7371875047683716,0.7371875047683716,0.0,0.0,0.0,8.998250357806683,1.7914376258850098
150501001101,1997-06,0.0268124993890523,0.0268124993890523,0.0,0.0,0.0,0.7371875047683716,8.998250357806683
150501001101,1997-07,5.864874707534909,4.09499979019165,2.0,0.0,0.0,0.0268124993890523,0.7371875047683716
150501001101,1997-08,52.404501491910196,13.24637508392334,7.0,1.0,0.0,5.864874707534909,0.0268124993890523
150501001101,1997-09,7.101062200963497,3.1666247844696045,3.0,0.0,0.0,52.404501491910196,5.864874707534909
150501001101,1997-10,5.545437270775437,5.521249771118164,1.0,0.0,0.0,7.101062200963497,52.404501491910196
150501001101,1997-11,7.836812615394592,3.6398751735687256,3.0,0.0,0.0,5.545437270775437,7.101062200963497
150501001101,1997-12,40.076751177664846,12.938187599182127,5.0,2.0,0.0,7.836812615394592,5.545437270775437
150501001101,1998-01,13.33849954791367,11.590999603271484,2.0,1.0,0.0,40.076751177664846,7.836812615394592
150501001101,1998-02,108.3447495996952,27.501251220703125,9.0,5.0,2.0,13.33849954791367,40.076751177664846
150501001101,1998-03,45.24274995923042,10.476751327514648,8.0,0.0,0.0,108.3447495996952,13.33849954791367
150501001101,1998-04,8.791062457486987,7.736999988555908,2.0,0.0,0.0,45.24274995923042,108.3447495996952
150501001101,1998-05,1.847999930381775,1.847999930381775,1.0,0.0,0.0,8.791062457486987,45.24274995923042
150501001101,1998-06,0.0,0.0,0.0,0.0,0.0,1.847999930381775,8.791062457486987
150501001101,1998-07,11.357625142671168,2.822625160217285,6.0,0.0,0.0,0.0,1.847999930381775
150501001101,1998-08,24.950061010895297,11.26999855041504,4.0,0.0,0.0,11.357625142671168,0.0
150501001101,1998-09,14.962937816977501,5.395437717437744,4.0,0.0,0.0,24.950061010895297,11.357625142671168
150501001101,1998-10,12.901250407099724,10.213812828063965,2.0,0.0,0.0,14.962937816977501,24.950061010895297
150501001101,1998-11,10.24912542104721,9.542625427246094,1.0,0.0,0.0,12.901250407099724,14.962937816977501
150501001101,1998-12,13.873187839984894,5.236375331878662,4.0,0.0,0.0,10.24912542104721,12.901250407099724
150501001101,1999-01,0.5228125210851431,0.510812520980835,0.0,0.0,0.0,13.873187839984894,10.24912542104721
150501001101,1999-02,6.826375246047974,6.155812740325928,1.0,0.0,0.0,0.5228125210851431,13.873187839984894
150501001101,1999-03,4.760437488555908,4.760437488555908,1.0,0.0,0.0,6.826375246047974,0.5228125210851431
150501001101,1999-04,28.49387495778501,20.2033748626709,5.0,1.0,1.0,4.760437488555908,6.826375246047974
150501001101,1999-05,0.0,0.0,0.0,0.0,0.0,28.49387495778501,4.760437488555908
150501001101,1999-06,0.08400000305846331,0.0778750032186508,0.0,0.0,0.0,0.0,28.49387495778501
150501001101,1999-07,46.97656625509262,21.063566207885746,8.0,1.0,1.0,0.08400000305846331,0.0
150501001101,1999-08,15.936750365421176,9.149687767028809,4.0,0.0,0.0,46.97656625509262,0.08400000305846331
150501001101,1999-09,42.349813231267035,14.231688499450684,7.0,1.0,0.0,15.936750365421176,46.97656625509262
150501001101,1999-10,0.0,0.0,0.0,0.0,0.0,42.349813231267035,15.936750365421176
150501001101,1999-11,0.0,0.0,0.0,0.0,0.0,0.0,42.349813231267035
150501001101,1999-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150501001101,2000-01,0.735500007867813,0.4248125255107879,0.0,0.0,0.0,0.0,0.0
150501001101,2000-02,0.7458750009536743,0.7458750009536743,0.0,0.0,0.0,0.735500007867813,0.0
150501001101,2000-03,65.4426906814333,34.26094055175781,4.0,2.0,2.0,0.7458750009536743,0.735500007867813
150501001101,2000-04,1.886562466621399,1.886562466621399,1.0,0.0,0.0,65.4426906814333,0.7458750009536743
