huc12,ele_std,ele_below_10th_mean,ele_hi,slope_below_10th_mean,slope_above_90th_mean,slope_cv,asp_mean,asp_var,asp_pc1,prof_mean,prof_std,prof_pct_neg,plan_mean,plan_std,plan_pct_neg,flow_mean,flow_95pct,flow_pct_high,hand_surface,hand_shallow,hand_deep,twi_median,twi_90pct
103001010202,14.338037,272.78177,0.3778078,0.2417445,7.0912,0.6818682,223.50476,0.9716319,0.2916315967056236,0.00032004842,0.46378243,48.25224825136005,0.00033958777,0.31596377,44.792272676806924,415.03958,44.0,4.617634347163619,59.99546856986733,37.04843965534476,2.9560917747879225,8.792604,10.803103
103001010104,22.331816,256.87256,0.56509656,0.47621724,11.526239,0.9060068,319.47943,0.9689721,2.281249696361868,0.0012356343,0.6741978,51.206298682138765,0.0012991015,0.4073846,47.303828769430424,531.0365,22.0,3.2846216805712203,52.948940009787435,38.27320286462298,8.777857125589582,8.741526,10.830547
103001010303,20.870008,231.78477,0.4214448,0.55714464,11.855295,0.7629236,168.6874,0.9000238,-2.178035778732362,-0.0005426427,0.8426344,50.68140641793336,-0.0008110438,0.5312892,48.607891908490714,756.76587,30.0,3.8984229586168047,47.083187471211424,45.59631506218332,7.320497466605251,8.339331,10.679945
103001010304,18.986288,219.43938,0.2138545,0.086968206,12.50285,1.2750486,183.49088,0.95602155,-0.5919365533748177,0.005407336,0.8326282,48.141473304798374,0.0041182614,0.49438736,48.11656474302972,1360.463,66.0,6.141267484280188,75.4502314115279,17.435993238058085,7.113775350414013,8.504309,10.973116
103001010306,27.169426,218.95807,0.39895576,0.10805633,14.35412,0.96653175,99.23981,0.9855137,1.0777123375312125,0.00130428,0.8587544,51.644987366602855,0.0016964482,0.5585576,46.80489385867603,2266.4888,27.0,3.480232086210379,50.29867273445572,35.17766516744666,14.523662098097612,8.336304,10.754898
103001010206,21.173958,234.56583,0.44861138,0.34857023,13.981327,0.9180503,133.86414,0.92936313,-0.2889875554549264,-0.0007635698,0.831842,50.837261758627925,-0.00096983474,0.4926141,47.69039538697998,2320.0562,36.0,4.2417001014064635,47.94722217428073,40.510519321378645,11.542258504340621,8.433912,10.7307825
103001010302,18.442373,254.85236,0.5865277,0.7822755,11.981685,0.73493165,166.69972,0.85612875,-3.6041538183832666,0.00053115806,0.7500332,51.85414728362638,0.00052449893,0.47933033,47.465581608978816,426.02634,42.0,4.667530809608033,44.56592785387053,47.81374026922307,7.620331876906408,8.29332,10.4231
103001010305,30.74133,218.99863,0.41455552,0.07838077,15.058872,1.072782,328.13705,0.88065493,4.896458048183726,6.5330445e-05,0.90622634,49.96650211900193,0.0009028107,0.54323596,48.441731717084295,3990.6042,26.0,3.463131611990705,53.80939543290224,33.31308237331126,12.8775221937865,8.468393,10.779246
103001010103,20.108711,255.34451,0.59612656,0.50126505,8.732325,0.81518924,115.93546,0.917839,-0.06577416263485097,0.0021114305,0.6168726,49.72597581465405,0.0021214562,0.3939249,49.518257705523254,270.45255,16.0,2.855081498474761,59.60441302713782,36.60658175231351,3.7890052205486713,8.643587,11.126876
103001010105,21.215103,239.23569,0.53290284,0.6404109,13.404257,0.89875925,127.55662,0.963189,0.45253770186347314,0.0034316774,0.83163655,51.44615087401999,0.0033138227,0.48290128,48.30905870712275,1178.4849,34.0,4.155245890017094,45.798138550560694,43.08432448578174,11.117536963657567,8.482188,10.762273
103001010301,23.208714,220.83795,0.28212684,0.078426875,14.767673,1.2302198,156.83572,0.95711875,-0.17799210392970138,0.0060826,0.9335304,49.77841960995007,0.007570074,0.5160437,48.5308393134373,1694.3365,89.0,8.061371577925975,67.4528350312608,23.88357133976002,8.663593628979179,8.301787,10.62442
102901080301,15.095381,266.48596,0.48049337,0.2605556,7.410247,0.873063,123.84098,0.90550435,-0.691055160415105,-0.00045954974,0.4594765,50.77999428510197,-0.00046672707,0.29610565,44.93896667500089,666.86743,29.0,3.713237725028101,64.22445809477335,33.482832993730696,2.2927089114959527,9.098019,11.012436
102400110603,19.56696,242.81477,0.5767373,0.81366944,15.24035,0.72541046,211.97044,0.88759744,-2.0756275859665125,0.001183866,0.9465518,52.572583056316766,0.0010461608,0.6232047,46.567972698757536,490.17697,21.0,3.363700716605384,37.274546254381356,45.099440888901505,17.62601285671714,8.091932,10.113911
102400120708,17.61001,257.80884,0.58524793,0.72374237,11.527906,0.7654065,296.26587,0.94028497,2.2364471794755527,-0.0017386816,0.7087414,53.11221746955567,-0.0017675307,0.45518154,46.83851781530766,545.43225,30.0,4.0389913117185845,45.67784855784367,47.08411514223675,7.238036299919585,8.422951,10.326417
102400120709,17.010517,261.46048,0.6371147,0.66624457,10.628482,0.76538175,2.065279,0.98269415,1.905394050059416,-0.0013860967,0.6929659,52.01515866032058,-0.0012658752,0.44756857,47.08725709924109,747.46356,29.0,3.9452932930210176,48.98427738695422,46.30222032077242,4.713502292273362,8.493094,10.491142
102400120710,15.674091,254.0762,0.6153308,0.41692662,11.167936,0.88364416,15.375867,0.9536603,2.836003516551964,0.0010075307,0.69855076,51.28529696433325,0.0012019334,0.43104255,47.40569405683479,541.844,28.0,3.839634777810028,56.38223414776904,37.77156427013714,5.846201582093815,8.633071,10.738288
102400120711,17.202122,240.08292,0.43435067,0.29913577,11.631203,0.79069257,215.20667,0.9078514,-1.3083930849714407,0.0021852567,0.6829285,51.44743154532371,0.0019180314,0.43907213,47.154781351907744,2549.6284,24.0,3.6390918059201276,50.844230056109765,40.13307071775512,9.022699226135114,8.421801,10.632421
102400120901,21.23709,237.18182,0.46326753,0.4333807,12.490438,0.74496156,212.13145,0.9374627,-0.5843233676063576,0.0011269023,0.7547477,50.645710293864965,0.0010749027,0.47920758,47.24264083407434,550.9523,21.0,3.283183979036282,45.11105527638191,42.482663316582915,12.406281407035175,8.325766,10.366688
102400120902,17.450287,244.444,0.58780664,0.88533145,12.776239,0.70795065,242.84238,0.8799831,-0.5585743446514451,-0.00022681283,0.7828503,51.71964745037661,-0.0002338119,0.51332295,47.00323600726488,402.5776,36.0,4.3611298194849795,41.90702096043268,46.59312209844297,11.499856941124351,8.2789345,10.261024
102400110605,26.036932,227.99194,0.51431346,0.16406964,16.674215,0.8354955,211.52779,0.8655966,-2.7935836475111175,0.0052171606,0.93958825,49.252248310728696,0.0049719103,0.62353945,47.03028535316708,382.79996,47.0,4.927052250650752,41.56383892821445,38.27393582302133,20.162225248764216,7.9888296,10.42819
102400110607,22.966326,239.20282,0.56561655,0.7088336,14.505127,0.7375134,196.32533,0.86676717,-3.299642993421207,0.00021935589,0.93662596,50.97604985492177,0.0006145431,0.5850847,48.11634615546917,530.6027,48.0,4.969847311919935,40.94683165693008,43.34910429596971,15.704064047100207,8.070799,10.337146
103001010404,20.786077,242.05933,0.5395007,0.6670192,9.989192,0.66929305,145.56638,0.90207565,-1.4656097482428692,-0.0017794721,0.6577131,52.2742416912362,-0.001815129,0.43337756,46.88183303556684,839.6592,27.0,3.8326192783386075,46.47438429913942,47.81278668317906,5.712829017681517,8.419033,10.37178
103001010203,17.549791,250.16899,0.5225369,0.33867052,14.040304,0.9757929,247.80676,0.9761942,0.992923102892886,0.00063749595,0.79274046,50.50700514574984,0.00057010463,0.48602846,46.86060534343573,1343.593,54.0,5.307804215080109,49.099505590417024,41.03599538690425,9.864499022678732,8.52636,10.74334
103001010106,24.839457,226.65892,0.45419034,0.44979876,13.938291,0.86648965,236.48434,0.9890248,1.1107955007450774,0.004537987,0.9103858,51.087137065043066,0.004460758,0.5221168,48.385700165282955,3849.1296,39.0,4.43668506829255,45.95914488535027,40.020803324175155,14.020051790474582,8.396566,10.74389
103001010201,15.197765,283.37515,0.5489002,0.42554793,7.534517,0.745226,42.74232,0.97430027,1.7969233242953795,-0.00036857658,0.5205098,50.472713014311886,-0.00010247077,0.32412788,47.449372692160246,482.78726,63.0,5.845668450325169,59.53317456787224,37.08314695467688,3.3836784774508897,8.922015,11.041436
103001010204,19.991907,241.78822,0.5239609,0.45992973,15.849743,0.95577264,126.80269,0.944332,0.18957149667118803,0.0010818325,0.8577962,52.57324244956795,0.001226071,0.5250908,47.776235786632725,1555.2542,26.0,3.6355115545975014,42.89720271670312,41.40823452668739,15.694562756609493,8.479214,10.671146
102400110606,27.350138,223.58604,0.34016845,0.044773247,17.06053,1.0011442,161.40933,0.9233261,-1.3570359081596248,0.010070165,1.0119032,49.33959242009808,0.009010144,0.6307574,47.560126660259726,297.15533,49.0,5.006557381423465,56.165504548626764,24.94858476873954,18.885910682633693,7.9554267,10.731356
102400110608,22.02523,223.12447,0.31414002,0.07498899,12.414753,1.0488917,118.936874,0.9338593,0.15293807330794118,0.010660738,0.7830595,48.776015455986304,0.009484054,0.46173188,48.452087599347514,1283.2515,148.0,11.599143716234686,63.96447205543794,29.138467589861055,6.8970603547010025,8.271614,10.515338
102701040607,29.3496,228.26054,0.4973318,0.3370033,15.352715,0.9555575,134.0415,0.97847736,0.8201401888103362,0.005024568,0.9632435,50.847670312482094,0.0047878013,0.5472019,48.44638901819159,671.5426,34.0,4.062594595098052,49.33503973698854,37.058790090968216,13.606170172043248,8.38191,10.64342
