huc12,ele_std,ele_below_10th_mean,ele_hi,slope_below_10th_mean,slope_above_90th_mean,slope_cv,asp_mean,asp_var,asp_pc1,prof_mean,prof_std,prof_pct_neg,plan_mean,plan_std,plan_pct_neg,flow_mean,flow_95pct,flow_pct_high,hand_surface,hand_shallow,hand_deep,twi_median,twi_90pct
111101010305,18.84946,178.47652,0.28665394,0.099557474,9.849368,1.2290494,132.31621,0.9288451,1.3895161471564064,0.0009154635,0.63098896,50.30137555105312,0.00077991135,0.40114757,47.991713385913805,2328.7065,45.0,5.012909554639984,78.28188800748296,17.9074553750772,3.8106566174398457,8.984191,11.419281
111101010304,18.595667,185.01277,0.31936187,0.14121775,10.670058,1.2157793,228.1662,0.8897842,-2.9030112434394,0.004159722,0.68987846,51.12879889199341,0.004103683,0.39949524,47.90059558790678,1154.8105,42.0,4.843221136515168,74.4361160657518,21.813776535967257,3.75010739828094,8.80655,11.170363
111101010501,15.466141,183.62984,0.3367694,0.19783439,6.7067304,1.0346324,202.28307,0.8646673,-2.349816297250238,-0.002880244,0.55711323,51.643639479572144,-0.0030255828,0.33863193,48.235151950139695,653.9667,42.0,4.854163492627766,84.59144162079008,14.924980621028231,0.4835777581816961,9.043991,11.609495
111101010111,19.168968,186.88858,0.2993393,0.26729435,9.768075,1.1115078,180.60606,0.9777633,0.20578408750946783,0.00045068903,0.6281984,50.803493901362714,0.00031728856,0.38445026,47.88335119271551,354.0932,20.0,3.2089583537207647,74.05096468550047,21.400613505150496,4.5484218093490325,8.928944,11.278798
111101010303,27.336693,191.1965,0.29176816,0.21484748,16.035828,1.0214306,160.66039,0.9260563,0.27274025837486443,0.005556645,0.8810106,50.32361100277409,0.0058348714,0.614891,47.18070414394089,497.97122,63.0,6.2810289324925135,55.876528211558416,25.424176589555174,18.69929519888641,8.33873,10.6563835
110701070307,13.985972,186.81956,0.19507763,0.15111165,8.938467,1.4144493,216.27226,0.86882025,-2.82095793880214,-0.00091327855,0.6356641,50.419576696099746,-0.0008877199,0.4231868,47.99192439100147,668.6022,43.0,4.918813135468522,83.68938014059253,13.001785866750149,3.3088339926573127,9.303162,11.642765
110701050205,12.018524,167.12222,0.20947365,0.07181576,12.242769,1.5292909,199.22728,0.95838916,-0.16390877478781385,0.0013305142,0.8146518,48.762085669218976,0.0017671976,0.49694696,47.42998880269109,4687.759,38.0,4.572754902592521,78.31455625009967,18.048421702424275,3.637022047476047,9.092562,11.534843
110701060709,10.309432,183.74635,0.43116158,0.25592,5.6578236,0.9822161,85.4855,0.9317568,2.5215992733179204,-0.004424186,0.5870371,50.96359632982256,-0.0044504264,0.41635033,48.37759325009714,671.75726,45.0,5.003693925354073,87.95143456905191,11.702656334415224,0.34590909653286706,9.261435,11.638853
110701050301,15.62494,166.59381,0.41886872,0.112792455,10.938061,1.3046523,123.73209,0.9384432,1.611497640401361,0.0014680659,0.69424665,51.64164174594409,0.0014542742,0.4217592,47.069079895662924,433.71457,46.0,5.082768659338453,74.5357360973123,21.07765948006619,4.386604422621523,9.069425,11.470682
110701050204,16.920033,175.70293,0.4241152,0.25999957,10.848749,1.2578917,69.66479,0.9550934,1.6858617942815715,0.0002399815,0.680878,50.85590507673038,-0.0007413083,0.4052773,46.53924431222381,814.67865,54.0,5.582861736841275,75.33094582919378,19.279945654195885,5.3891085166103325,9.090284,11.419188
110701050303,20.13177,164.71356,0.32826653,0.11640838,8.834662,1.2358993,95.822655,0.95839083,1.5544217333434875,0.0006831633,0.5934463,50.76364831029237,0.00072434,0.38771796,47.585937039535295,1058.8651,35.0,4.396898574800209,79.02519443531602,18.31772373753971,2.6570818271442658,9.146011,11.597949
110701070404,16.109627,176.752,0.33965716,0.1111868,6.6213856,1.1474875,115.348434,0.98351336,0.7372590275210225,0.00077743764,0.55198306,49.75540023955173,0.000990063,0.32085526,47.50122758791594,1394.8003,39.0,4.667265461581314,86.45416010805833,13.312789400982988,0.23305049095868113,9.160883,11.549014
110701070401,35.445343,185.6247,0.43109068,0.30246705,15.998375,0.9702856,38.134834,0.93530345,2.0741882607964808,0.0007162298,0.8401481,51.78985797094274,0.0010673002,0.6330892,46.627770778312986,1245.9287,32.0,4.1362013316667525,50.736531794469954,27.684286148273802,21.57918205725625,8.470126,10.77201
110701070402,21.019348,182.41667,0.24700542,0.3247354,10.7038355,1.1546323,87.71186,0.9479772,1.8107020918950938,0.0022548505,0.6569315,51.509588784600666,0.0017190861,0.39337283,47.66361144816623,747.2931,28.0,3.9426443215083387,76.26099032475095,19.35086522848953,4.388144446759512,8.952945,11.205321
110701070403,16.136124,184.0847,0.44232255,0.23758565,6.992806,1.2516315,305.91718,0.8966301,-1.5154690309189762,0.0026850144,0.58525056,51.49725053685279,0.002604889,0.3100895,48.207938207827226,891.1856,52.0,5.393266377491467,89.15507416059528,10.676462264936161,0.16846357446855734,9.249091,11.680947
110701070405,19.570011,171.02463,0.40174085,0.19757347,14.527471,1.7730575,270.95718,0.84462035,-4.110407029399113,0.0041946988,1.0109221,49.583779632859795,0.004535457,0.51679534,48.22922485104048,6422.731,51.0,5.447201280200432,83.1644062303361,11.929650972259964,4.905942797403936,9.23328,11.66065
