huc12,ele_std,ele_below_10th_mean,ele_hi,slope_below_10th_mean,slope_above_90th_mean,slope_cv,asp_mean,asp_var,asp_pc1,prof_mean,prof_std,prof_pct_neg,plan_mean,plan_std,plan_pct_neg,flow_mean,flow_95pct,flow_pct_high,hand_surface,hand_shallow,hand_deep,twi_median,twi_90pct
051401010906,43.196335,118.56835,0.23878871,0.010235118,28.433279,1.3555474,206.6758,0.9230921,-3.7557735210671637,0.0054994905,1.2440625,48.83751797901403,0.005835351,0.85508573,44.17286882318303,4865.7637,39.0,5.122368983106212,63.785632931006035,12.781129387332928,23.43323768166104,8.157562,10.663779
051401010605,27.462831,128.73262,0.3543656,0.053888034,13.635704,1.2190615,246.78091,0.8412435,0.023332488664926914,0.006834128,0.7763639,47.50179995753746,0.0065069585,0.47636074,45.39081602514535,1054.2449,35.0,4.765805091855959,70.57927200246816,23.576744963782254,5.843983033749587,8.533602,10.958786
051401010504,17.474688,178.40239,0.7009214,0.5123381,16.726002,1.006127,263.66498,0.8680933,2.5251601056896718,0.00059307733,0.892609,52.318339799839144,0.0005920189,0.56997424,48.36782697969657,498.51425,59.0,6.287310507295264,46.57039398204207,37.319055229155765,16.110550788802158,8.323675,10.670452
051401010904,28.774065,122.26028,0.26294923,0.004213274,23.167246,1.51139,235.26434,0.9170816,-1.8376792057219504,0.013767207,1.1626897,45.48917140017164,0.014559863,0.83094513,43.01649168800588,3183.8552,45.0,5.586429491339092,74.2592020697009,13.379462646909722,12.36133528338937,8.463125,10.916988
051401020903,22.848942,147.69908,0.6047172,0.8990408,18.813482,0.69303894,193.31976,0.8854904,-1.4437024220846324,0.0054844464,0.97510266,55.93223934129081,0.005652671,0.7012011,45.005302840394144,1419.4421,37.0,4.900521219394538,30.73409896038343,39.01938765272022,30.246513386896357,7.659313,9.799873
051401010901,16.983707,139.45589,0.3777632,0.26223055,9.119131,1.2047305,258.7631,0.84519804,1.7536738876016984,0.005206264,0.6181972,50.726258990036875,0.005208884,0.37212384,48.87359937598945,651.7624,45.0,5.398810299161999,83.50262989095573,14.636818473380373,1.860551635663887,8.870835,11.442275
051401021001,15.197923,172.73926,0.6383661,0.5192913,12.060347,0.83572274,223.83466,0.92115307,-0.3895598333390292,-0.0005866952,0.7487317,52.65089018208676,-0.00046566897,0.53045964,47.619529802784015,404.99176,37.0,4.891890358095454,49.54612418645838,41.29713974848212,9.156736065059503,8.283889,10.7637005
051401020805,15.391492,189.45161,0.5398884,0.99895614,11.180486,0.60281163,220.38017,0.8704494,0.16653690383575828,0.002163896,0.68665326,53.20787498750358,0.0014235007,0.48521444,45.814129059613975,616.4468,36.0,4.844615993665875,41.24725546320884,50.72961570737202,8.023128829419136,7.9873514,9.931512
051401020902,11.899757,199.47762,0.58279365,0.8939181,9.747617,0.57781214,204.69038,0.8817258,-0.3912547573802218,0.0016903728,0.59530336,54.792821257483936,0.0015750896,0.43848467,44.99866830604881,315.50287,19.0,3.448733699338376,41.26353473778902,54.44557398989991,4.290891272311062,8.113694,9.989331
051401021203,28.675758,134.90839,0.2384373,0.31735325,25.785501,1.1030321,307.45544,0.9932238,-0.8743337683026241,0.02412058,1.1872797,49.22704706378508,0.0223836,1.0217028,47.39406763985587,2170.363,37.0,4.874936481756425,55.87627737118268,21.302689249217966,22.82103337959935,7.9923644,10.578167
