huc12,Datetime,Monthly_Max_Zscore,Imputed,Num_Neighbors,Donor_IDs,Donor_Weights,Donor_Zscores,flood_count_monthly,flood_count_monthly_log,flood_count_monthly_log_std,Flood_Intensity_Index
051401010906,1998-06,-0.12419836705085943,True,3,"051401010605,051401021201,051401021001","0.0874,0.0844,0.0535","0.0946,-0.1983,-0.3645",0,0.0,-0.22777277748292346,-0.17598557226689143
051401010906,1998-07,-0.3311277935909494,True,3,"051401010605,051401021201,051401021001","0.0874,0.0844,0.0535","-0.3474,-0.3178,-0.3256",0,0.0,-0.22777277748292346,-0.2794502855369364
051401010906,1998-08,-0.5277923200363386,True,3,"051401010605,051401021201,051401021001","0.0874,0.0844,0.0535","-0.3221,-0.6592,-0.6564",0,0.0,-0.22777277748292346,-0.377782548759631
051401010906,1998-09,-0.7784666167838696,True,3,"051401010901,051401010605,051401021201","0.1779,0.0874,0.0844","-0.7702,-0.7489,-0.8265",0,0.0,-0.22777277748292346,-0.5031196971333965
051401010906,1998-10,-0.5382694443312236,True,3,"051401010901,051401010605,051401021201","0.1779,0.0874,0.0844","-0.3955,-0.6378,-0.7360",0,0.0,-0.22777277748292346,-0.3830211109070735
051401010906,1998-11,-0.6571778918674954,True,3,"051401010901,051401010605,051401021201","0.1779,0.0874,0.0844","-0.6104,-0.6845,-0.7275",0,0.0,-0.22777277748292346,-0.44247533467520944
051401010906,1998-12,-0.41118665247305425,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","-0.4094,-0.4679,-0.3012",0,0.0,-0.22777277748292346,-0.3194797149779889
051401010906,1999-01,0.7881644973632266,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","1.4057,0.1212,0.2488",0,0.0,-0.22777277748292346,0.28019585994015156
051401010906,1999-02,-0.3359668214803212,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","-0.2191,-0.5452,-0.2691",0,0.0,-0.22777277748292346,-0.28186979948162233
051401010906,1999-03,-0.35168107316493913,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","-0.2375,-0.4824,-0.4362",0,0.0,-0.22777277748292346,-0.2897269253239313
051401010906,1999-04,-0.3174535618045728,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","-0.0752,-0.5090,-0.6717",0,0.0,-0.22777277748292346,-0.27261316964374815
051401010906,1999-05,-0.3580789748104132,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","-0.2155,-0.4341,-0.6413",0,0.0,-0.22777277748292346,-0.2929258761466683
051401010906,1999-06,0.6437192703590487,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","0.9579,0.5437,-0.1176",0,0.0,-0.22777277748292346,0.20797324643806264
051401010906,1999-07,-0.7759053531577427,True,3,"051401021205,051401010901,051401010605","0.2685,0.1779,0.0874","-0.7945,-0.7335,-0.8051",0,0.0,-0.22777277748292346,-0.5018390653203331
051401010906,1999-08,-0.7735690342115449,False,,,,,0,0.0,-0.22777277748292346,-0.5006709058472342
051401010906,1999-09,-0.7628986107191781,False,,,,,0,0.0,-0.22777277748292346,-0.49533569410105077
051401010906,1999-10,-0.4093028529204011,False,,,,,0,0.0,-0.22777277748292346,-0.31853781520166224
051401010906,1999-11,-0.674223712041233,False,,,,,0,0.0,-0.22777277748292346,-0.4509982447620782
051401010906,1999-12,0.0322319122809853,False,,,,,0,0.0,-0.22777277748292346,-0.09777043260096908
051401010906,2000-01,3.5829073157754676,False,,,,,1,0.6931471805599453,2.439593203590436,3.011250259682952
051401010906,2000-02,1.5592063086024466,False,,,,,0,0.0,-0.22777277748292346,0.6657167655597616
051401010906,2000-03,0.4185748318321986,False,,,,,0,0.0,-0.22777277748292346,0.09540102717463758
051401010906,2000-04,5.385840940347796,False,,,,,0,0.0,-0.22777277748292346,2.5790340814324364
051401010906,2000-05,-0.6374291482744507,False,,,,,0,0.0,-0.22777277748292346,-0.4326009628786871
051401010906,2000-06,-0.6374291482744507,False,,,,,0,0.0,-0.22777277748292346,-0.4326009628786871
051401010906,2000-07,-0.7367744704447626,False,,,,,0,0.0,-0.22777277748292346,-0.48227362396384305
051401010906,2000-08,-0.4497768730638615,False,,,,,0,0.0,-0.22777277748292346,-0.3387748252733925
051401010906,2000-09,-0.2878807924900197,False,,,,,0,0.0,-0.22777277748292346,-0.2578267849864716
051401010906,2000-10,-0.7709934147478701,False,,,,,0,0.0,-0.22777277748292346,-0.4993830961153968
051401010906,2000-11,-0.508648175090713,False,,,,,0,0.0,-0.22777277748292346,-0.36821047628681824
051401010906,2000-12,2.376045624225011,False,,,,,0,0.0,-0.22777277748292346,1.0741364233710438
051401010906,2001-01,-0.7036593630546587,False,,,,,0,0.0,-0.22777277748292346,-0.4657160702687911
051401010906,2001-02,1.8241271677232784,False,,,,,0,0.0,-0.22777277748292346,0.7981771951201775
051401010906,2001-03,-0.1848560139430296,False,,,,,0,0.0,-0.22777277748292346,-0.20631439571297655
051401010906,2001-04,-0.7404539268214408,False,,,,,0,0.0,-0.22777277748292346,-0.48411335215218215
051401010906,2001-05,-0.0523955843826136,False,,,,,0,0.0,-0.22777277748292346,-0.14008418093276853
051401010906,2001-06,-0.6889415375479457,False,,,,,0,0.0,-0.22777277748292346,-0.4583571575154346
051401010906,2001-07,-0.6889415375479457,False,,,,,0,0.0,-0.22777277748292346,-0.4583571575154346
